SEMESTER,SUBJECT,CATALOGNUMBER,LOCATION,ENROLMENTCAPACITY,ENROLMENTTOTAL,INSTRUCTORS,COMPONENTCODE
1154,MSE,411W,SURREY,8,0,Flavio Firmani,OPL
1081,CMPT,405,BURNABY,20,5,Binay Bhattacharya,LEC
1137,CMPT,165,SURREY,18,18,Bobby Chan,LAB
1054,ITEC,317,SURREY,24,0,(null),WKS
1014,WKTM,200,BURNABY,9999,0,(null),CNV
1141,MACM,101,BURNABY,24,23,Binay Bhattacharya,TUT
1024,ENSC,201,BURNABY,95,82,(null),LEC
1007,CMPT,412,BURNABY,9999,0,(null),CNV
1004,CMNS,223,BURNABY,9999,0,(null),CNV
1004,CMNS,880,BURNABY,9999,0,(null),CNV
1027,TECH,120,SURREY,28,29,(null),INS
1017,CMNS,428,BURNABY,9999,0,(null),CNV
1017,KIN,430,BURNABY,9999,0,(null),CNV
1017,CMNS,880,BURNABY,9999,0,(null),CNV
1001,CMNS,345,BURNABY,9999,0,(null),CNV
1031,IART,224,SURREY,24,28,Jim Bizzocchi,STL
1027,MTEC,403,SURREY,0,0,Haizley Trevor-Smith,OLC
1034,ETEC,694,SURREY,25,1,(null),SEC
1051,IART,318,SURREY,48,0,(null),STL
1024,CMNS,895,BURNABY,40,9,(null),SEC
1081,CMNS,899,BURNABY,40,23,. Faculty,SEC
1127,CMPT,711,BURNABY,15,12,Suleyman Sahinalp,LEC
1087,KIN,205,BURNABY,76,61,Joaquin Hoffer,LEC
1087,KIN,205,BURNABY,19,19,(null),TUT
1044,ITEC,223,SURREY,24,3,(null),WKS
1027,IART,218,SURREY,0,0,(null),OPL
1001,ITEC,697,BURNABY,9999,0,(null),CNV
1011,CMPT,469,BURNABY,9999,0,(null),CNV
1164,CMPT,430,OFF,15,0,Harriet Chicoine,SEC
1041,INTD,213,SURREY,48,48,"Chantal Gibson, Teresa Chanyungco, Thomas Calvert",INS
1011,KIN,305,BURNABY,9999,0,(null),CNV
1027,TECH,137,SURREY,30,0,(null),WKS
1051,ITEC,328,SURREY,48,35,Yingchen Yang,INS
1001,REM,611,BURNABY,9999,0,(null),CNV
1107,ENSC,488,BURNABY,36,34,Kamal Gupta,TUT
1091,CMNS,223W,BURNABY,96,97,Benjamin Woo,LEC
1027,CMPT,770,BURNABY,15,2,Torsten Moller,LEC
1124,ENSC,460,SURREY,20,13,Ehsan Asadi,LEC
1027,ITEC,276,SURREY,0,0,(null),INS
1104,CMPT,899,OFF,0,1,(null),SEC
1154,MACM,101,BURNABY,144,141,Ramesh Krishnamurti,LEC
1081,ENSC,472,BURNABY,0,0,(null),OPL
1084,CMNS,262,HRBRCNTR,72,69,Fiona Jeffries,LEC
1107,ENSC,488,BURNABY,36,34,Kamal Gupta,LEC
1107,ENSC,894,BURNABY,0,10,(null),TUT
1031,TECH,159,SURREY,28,24,(null),INS
1057,CMNS,324,BURNABY,18,21,(null),TUT
1041,ENSC,820,BURNABY,30,29,. Sessional,LEC
1107,CMPT,165,SURREY,101,93,Brian Fraser,LEC
1144,CMPT,894,BURNABY,8,8,. Faculty,SEC
1031,CMNS,253,HRBRCNTR,8,13,(null),LAB
1137,CMPT,150,BURNABY,25,0,(null),LAB
1061,CMPT,120,BURNABY,25,24,(null),LAB
1154,MACM,101,BURNABY,24,24,Ramesh Krishnamurti,TUT
1154,MACM,101,BURNABY,24,24,Ramesh Krishnamurti,TUT
1101,ENSC,895,BURNABY,10,4,Ljiljana Trajkovic,LEC
1024,ENSC,102,BURNABY,4,1,Stephen Whitmore,SEC
1027,ENSC,897,BURNABY,30,13,(null),SEC
